time,train_id,event,location,reason
2025-09-06 14:10:52,T1-SBC-ASK,GENERATE_TRAIN,SBC,Scheduled for departure at T=0s
2025-09-06 14:10:52,T1-SBC-ASK,DEPART_JOURNEY_START,SBC,
2025-09-06 14:10:52,T1-SBC-ASK,ENTER_BLOCK,SBC-YPR-B1,"Signal:green, Speed:0.0km/h, Time:52s"
2025-09-06 14:10:52,T1-SBC-ASK,EXIT_BLOCK_FRONT,SBC-YPR-B1,
2025-09-06 14:10:52,T1-SBC-ASK,ENTER_BLOCK,SBC-YPR-B2,"Signal:green, Speed:80.0km/h, Time:30s"
2025-09-06 14:10:52,T1-SBC-ASK,FREE_BLOCK_REAR,SBC-YPR-B1,
2025-09-06 14:10:52,T1-SBC-ASK,EXIT_BLOCK_FRONT,SBC-YPR-B2,
2025-09-06 14:10:52,T1-SBC-ASK,ENTER_BLOCK,SBC-YPR-B3,"Signal:green, Speed:80.0km/h, Time:30s"
2025-09-06 14:10:52,T1-SBC-ASK,FREE_BLOCK_REAR,SBC-YPR-B2,
2025-09-06 14:10:52,T1-SBC-ASK,EXIT_BLOCK_FRONT,SBC-YPR-B3,
2025-09-06 14:10:52,T1-SBC-ASK,ENTER_BLOCK,SBC-YPR-B4,"Signal:green, Speed:80.0km/h, Time:30s"
2025-09-06 14:10:52,T1-SBC-ASK,FREE_BLOCK_REAR,SBC-YPR-B3,
2025-09-06 14:10:52,T1-SBC-ASK,EXIT_BLOCK_FRONT,SBC-YPR-B4,
2025-09-06 14:10:52,T1-SBC-ASK,ENTER_BLOCK,SBC-YPR-B5,"Signal:green, Speed:80.0km/h, Time:30s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,SBC-YPR-B4,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,SBC-YPR-B5,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,SBC-YPR-B6,"Signal:green, Speed:80.0km/h, Time:30s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,SBC-YPR-B5,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,SBC-YPR-B6,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,SBC-YPR-B7,"Signal:green, Speed:80.0km/h, Time:30s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,SBC-YPR-B6,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,SBC-YPR-B7,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,SBC-YPR-B8,"Signal:green, Speed:80.0km/h, Time:30s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,SBC-YPR-B7,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,SBC-YPR-B8,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,SBC-YPR-B9,"Signal:green, Speed:80.0km/h, Time:30s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,SBC-YPR-B8,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,SBC-YPR-B9,
2025-09-06 14:10:53,T1-SBC-ASK,ARRIVE_STATION,YPR,"Platform available, Dwell:45s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,SBC-YPR-B9,
2025-09-06 14:10:53,T1-SBC-ASK,DEPART_STATION,YPR,Platform freed
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,YPR-TK-B1,"Signal:green, Speed:0.0km/h, Time:54s"
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,YPR-TK-B1,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,YPR-TK-B2,"Signal:green, Speed:97.6km/h, Time:26s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,YPR-TK-B1,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,YPR-TK-B2,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,YPR-TK-B3,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,YPR-TK-B2,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,YPR-TK-B3,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,YPR-TK-B4,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,YPR-TK-B3,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,YPR-TK-B4,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,YPR-TK-B5,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,YPR-TK-B4,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,YPR-TK-B5,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,YPR-TK-B6,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,YPR-TK-B5,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,YPR-TK-B6,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,YPR-TK-B7,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,YPR-TK-B6,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,YPR-TK-B7,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,YPR-TK-B8,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,YPR-TK-B7,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,YPR-TK-B8,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,YPR-TK-B9,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,YPR-TK-B8,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,YPR-TK-B9,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,YPR-TK-B10,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,YPR-TK-B9,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,YPR-TK-B10,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,YPR-TK-B11,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,YPR-TK-B10,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,YPR-TK-B11,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,YPR-TK-B12,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,YPR-TK-B11,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,YPR-TK-B12,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,YPR-TK-B13,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,YPR-TK-B12,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,YPR-TK-B13,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,YPR-TK-B14,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,YPR-TK-B13,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,YPR-TK-B14,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,YPR-TK-B15,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,YPR-TK-B14,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,YPR-TK-B15,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,YPR-TK-B16,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,YPR-TK-B15,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,YPR-TK-B16,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,YPR-TK-B17,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,YPR-TK-B16,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,YPR-TK-B17,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,YPR-TK-B18,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,YPR-TK-B17,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,YPR-TK-B18,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,YPR-TK-B19,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,YPR-TK-B18,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,YPR-TK-B19,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,YPR-TK-B20,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,YPR-TK-B19,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,YPR-TK-B20,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,YPR-TK-B21,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,YPR-TK-B20,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,YPR-TK-B21,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,YPR-TK-B22,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,YPR-TK-B21,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,YPR-TK-B22,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,YPR-TK-B23,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,YPR-TK-B22,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,YPR-TK-B23,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,YPR-TK-B24,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,YPR-TK-B23,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,YPR-TK-B24,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,YPR-TK-B25,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,YPR-TK-B24,
2025-09-06 14:10:53,T2-UBL-ASK,GENERATE_TRAIN,UBL,Scheduled for departure at T=1000s
2025-09-06 14:10:53,T2-UBL-ASK,DEPART_JOURNEY_START,UBL,
2025-09-06 14:10:53,T2-UBL-ASK,ENTER_BLOCK,UBL-HVR-B1,"Signal:green, Speed:0.0km/h, Time:53s"
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,YPR-TK-B25,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,YPR-TK-B26,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,YPR-TK-B25,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,YPR-TK-B26,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,YPR-TK-B27,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,YPR-TK-B26,
2025-09-06 14:10:53,T2-UBL-ASK,EXIT_BLOCK_FRONT,UBL-HVR-B1,
2025-09-06 14:10:53,T2-UBL-ASK,ENTER_BLOCK,UBL-HVR-B2,"Signal:green, Speed:97.1km/h, Time:26s"
2025-09-06 14:10:53,T2-UBL-ASK,FREE_BLOCK_REAR,UBL-HVR-B1,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,YPR-TK-B27,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,YPR-TK-B28,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,YPR-TK-B27,
2025-09-06 14:10:53,T2-UBL-ASK,EXIT_BLOCK_FRONT,UBL-HVR-B2,
2025-09-06 14:10:53,T2-UBL-ASK,ENTER_BLOCK,UBL-HVR-B3,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T2-UBL-ASK,FREE_BLOCK_REAR,UBL-HVR-B2,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,YPR-TK-B28,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,YPR-TK-B29,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,YPR-TK-B28,
2025-09-06 14:10:53,T2-UBL-ASK,EXIT_BLOCK_FRONT,UBL-HVR-B3,
2025-09-06 14:10:53,T2-UBL-ASK,ENTER_BLOCK,UBL-HVR-B4,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T2-UBL-ASK,FREE_BLOCK_REAR,UBL-HVR-B3,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,YPR-TK-B29,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,YPR-TK-B30,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,YPR-TK-B29,
2025-09-06 14:10:53,T2-UBL-ASK,EXIT_BLOCK_FRONT,UBL-HVR-B4,
2025-09-06 14:10:53,T2-UBL-ASK,ENTER_BLOCK,UBL-HVR-B5,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T2-UBL-ASK,FREE_BLOCK_REAR,UBL-HVR-B4,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,YPR-TK-B30,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,YPR-TK-B31,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,YPR-TK-B30,
2025-09-06 14:10:53,T2-UBL-ASK,EXIT_BLOCK_FRONT,UBL-HVR-B5,
2025-09-06 14:10:53,T2-UBL-ASK,ENTER_BLOCK,UBL-HVR-B6,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T2-UBL-ASK,FREE_BLOCK_REAR,UBL-HVR-B5,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,YPR-TK-B31,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,YPR-TK-B32,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,YPR-TK-B31,
2025-09-06 14:10:53,T2-UBL-ASK,EXIT_BLOCK_FRONT,UBL-HVR-B6,
2025-09-06 14:10:53,T2-UBL-ASK,ENTER_BLOCK,UBL-HVR-B7,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T2-UBL-ASK,FREE_BLOCK_REAR,UBL-HVR-B6,
2025-09-06 14:10:53,T1-SBC-ASK,EXIT_BLOCK_FRONT,YPR-TK-B32,
2025-09-06 14:10:53,T1-SBC-ASK,ENTER_BLOCK,YPR-TK-B33,"Signal:green, Speed:100.0km/h, Time:26s"
2025-09-06 14:10:53,T1-SBC-ASK,FREE_BLOCK_REAR,YPR-TK-B32,
2025-09-06 14:10:53,T2-UBL-ASK,EXIT_BLOCK_FRONT,UBL-HVR-B7,
2025-09-06 14:10:53,T2-UBL-ASK,ENTER_BLOCK,UBL-HVR-B8,"Signal:green, Speed:100.0km/h, Time:26s"
